date,username,link,tweet,clean_tweet,label
2022-12-20 23:59:57,Fasa77342812,https://twitter.com/Fasa77342812/status/1605352334573256704,"@SamFerkyFers10 @idextratime hebat darimana uruguay brp kali masuk final juara di tahun baru baru ada pildun dulu sekarang ga ada apa apanya,mampus kalah lagian ngapain mentri nya bakal ngibarin bendera lgbt kalo prancis menang",hebat darimana uruguay berapa kali masuk final juara tahun baru baru ada pildun dulu sekarang tidak ada apa apa mampus kalah lagi sedang apa tri nya bakal ngibarin bendera lgbt kalau prancis menang,-1
2022-12-20 23:58:31,chaeryeohng,https://twitter.com/chaeryeohng/status/1605351975775719425,"@Fasa77342812 @rakkaustarina1 @idextratime Lah yg diomongin kan 'sepakbola' not their player, sepakbola jelas lebih maju eropa, negara paling banyak juara pildun aja eropa, peringkat 10 besar aja dominasi eropa, semua pemain berbakat larinya ke eropa  Gimana?",diomongin sepakbola not their player sepakbola jelas lebih maju eropa negara paling banyak juara pildun saja eropa peringkat 10 besar saja dominasi eropa semua main bakat lari eropa bagaimana,-1
2022-12-20 23:56:42,llhamarians,https://twitter.com/llhamarians/status/1605351517304721408,messi sengaja menang pildun biar bisa keluar dari paris 🤔,messi sengaja menang pildun biar bisa keluar paris,0
2022-12-20 23:53:41,anwartanumyn,https://twitter.com/anwartanumyn/status/1605350758920388608,"@idextratime Bayangin lah sebelumnya 2014 kalah di final, ya kerasa banget lah euforianya 😭 Yg bikin pildun ini spesial ya karena Messi di final dan ada juara bertahan.",bayangin belum 2014 kalah final rasa banget euforia bikin pildun spesial messi final ada juara tahan,1
2022-12-20 23:50:45,baber168,https://twitter.com/baber168/status/1605350019648737280,"@UTDwib @whathevuck @idextratime nah itu, mungkin ngerasa diberi kebebasan sama pihak penyelenggara di sana, akhirnya dia berani aja masuk ke lapangan dan foto2 sama pemain Argentina sambil pegang2 trofi pildun, padahal udah keliatan bahasa tubuh pemain Argen yg gak nyaman gitu, si saltbae ini gak peka sama itu",nah mungkin ngerasa beri bebas sama pihak selenggara sana akhir berani saja masuk lapang foto sama main argentina pegang trofi pildun padahal sudah lihat bahasa tubuh main argentina tidak nyaman gitu si saltbae tidak peka sama,-1
2022-12-20 23:48:39,iiiiyaaaan,https://twitter.com/iiiiyaaaan/status/1605349493859553280,"Balik dari pildun gacor, lets see in premier league",balik pildun hebat let see in premier league,1
2022-12-20 23:47:50,TwitKacangAjaib,https://twitter.com/TwitKacangAjaib/status/1605349286979731457,@Bayy0705 @idextratime Gk sekalian bangunin klo C.Ronaldo dah menang Pildun🤣,tidak sekali bangunin kalau ronaldo deh menang pildun,0
2022-12-20 23:46:54,UTDwib,https://twitter.com/UTDwib/status/1605349051134009344,"@baber168 @whathevuck @idextratime Lebih tepatnya doi tuh merangkul pemain sepakbola jual makanannya mahal ke pesepakbola. Terus trofi pildun sakral gak semua orang bisa pegang, masalah utamanya itu sih doi asal masuk kek sok kenal gitu megang dan moto trofi",lebih tepat dia rangkul main sepakbola jual makan mahal pesepakbola terus trofi pildun sakral tidak semua orang bisa pegang masalah utama dia asal masuk seperti sok kenal gitu pegang foto trofi,-1
2022-12-20 23:42:32,thefifthramiel,https://twitter.com/thefifthramiel/status/1605347954608390147,"@idextratime Yah itu andil ronaldo, sebelumnya mana ada orang portugal mau main bola, jarang, makannya lolos pildun aja cuma 3 kali, gak pernah dapet gelar apapun di internasional",yah andil ronaldo belum mana ada orang portugal mau main bola jarang makan lolo pildun saja cuma kali tidak pernah dapat gelar apa internasional,-1
2022-12-20 23:39:07,suucciii,https://twitter.com/suucciii/status/1605347094927007745,@Rizxfa itulah yang dirasakan mbappe pas final pildun😌,rasa mbappe pa final pildun,0
2022-12-20 23:39:03,SPriyanpadma,https://twitter.com/SPriyanpadma/status/1605347077462323200,Waktu Argentina Lolos Sampe final WC 2014 rasanya gk keduga karna kualitas pemain argen yg biasa aja. Aku masih inget final saat itu keadaan sahur dan nobar dirumah tetangga. Alhasil messi gagal bawa pulang pildun tahun itu.  https://t.co/swTDC1u6mV,waktu argentina lolo sampai final wc 2014 rasa tidak duga karena kualitas main argentina biasa saja inget final ada sahur nonton bareng rumah tetangga alhasil messi gagal bawa pulang pildun tahun,1
2022-12-20 23:39:01,MNFD71888445,https://twitter.com/MNFD71888445/status/1605347068452540416,@idextratime Bangdo ga ada niatan ikut pildun U20 ya? Kl juara setidaknya bisa di Banggain sama fansnya😭,ronaldo tidak ada niat ikut pildun u20 kalau juara tidak bisa banggain sama fansnya,-1
2022-12-20 23:37:52,yoonmeowbit,https://twitter.com/yoonmeowbit/status/1605346776382201856,@nowplayingbts Aku bakal tau bakal ada cowo taek kayak gini 🤣🤣🤣 aku nonton bila udh lama tapi ya ada temen ku yg baru hype pas pildun. Ya aku kasih liat siapa2 yg ganteng. Trus endingnya kamu tuh lahir di adzani bukan dilempar bola (kalo gak salah soalnya gak begitu jelas ngomongnya),bakal tahu bakal ada cowo tai kayak gin nonton bila sudah lama tapi ada teman ku baru hype pa pildun kasih lihat siapa ganteng lalu endingnya kamu lahir adzani bukan lempar bola kalau tidak salah soal tidak jelas ngomongnya,0
2022-12-20 23:37:10,DienSyamsudin87,https://twitter.com/DienSyamsudin87/status/1605346602750996480,"@GOAL_ID Tibang piala aja diributin, piala gak bernyawa, mau dibanting di cium gpp.. asal jgn ngaku2 aja salt Bae udah juara pildun..😂😂😂",tibang piala saja diributin piala tidak nyawa mau banting cium tidak apa asal jangan aku saja salt bae sudah juara pildun,0
2022-12-20 23:35:44,lengguang00,https://twitter.com/lengguang00/status/1605346240014581760,"@dickykcivv @idextratime Emosi si titit kambing satu ini liat goat anglat tropi pildun, sabar bang wkwk",emosi si titit kambing satu lihat goat angkat tropi pildun sabar bang,-1
2022-12-20 23:35:01,IqbalQuosophy,https://twitter.com/IqbalQuosophy/status/1605346059193942016,"@Kirasaaa @SiaranBolaLive nendang lawan, kasih jari tengah (pildun 2018 dia ngasi jari tengah abis Messi cetak gol vs nigeria), belom lagi karirnya abis karena pake doping.",nendang lawan kasih jari tengah pildun 2018 beri jari tengah habis messi cetak gol v nigeria belum karirnya habis pakai doping,-1
