raw_tweet,sentiment
"@SamFerkyFers10 @idextratime hebat darimana uruguay brp kali masuk final juara di tahun baru baru ada pildun dulu sekarang ga ada apa apanya,mampus kalah lagian ngapain mentri nya bakal ngibarin bendera lgbt kalo prancis menang",-1
"@Fasa77342812 @rakkaustarina1 @idextratime Lah yg diomongin kan 'sepakbola' not their player, sepakbola jelas lebih maju eropa, negara paling banyak juara pildun aja eropa, peringkat 10 besar aja dominasi eropa, semua pemain berbakat larinya ke eropa  Gimana?",-1
messi sengaja menang pildun biar bisa keluar dari paris 🤔,0
"@idextratime Bayangin lah sebelumnya 2014 kalah di final, ya kerasa banget lah euforianya 😭 Yg bikin pildun ini spesial ya karena Messi di final dan ada juara bertahan.",1
"@UTDwib @whathevuck @idextratime nah itu, mungkin ngerasa diberi kebebasan sama pihak penyelenggara di sana, akhirnya dia berani aja masuk ke lapangan dan foto2 sama pemain Argentina sambil pegang2 trofi pildun, padahal udah keliatan bahasa tubuh pemain Argen yg gak nyaman gitu, si saltbae ini gak peka sama itu",-1
"Balik dari pildun gacor, lets see in premier league",1
@Bayy0705 @idextratime Gk sekalian bangunin klo C.Ronaldo dah menang Pildun🤣,0
"@baber168 @whathevuck @idextratime Lebih tepatnya doi tuh merangkul pemain sepakbola jual makanannya mahal ke pesepakbola. Terus trofi pildun sakral gak semua orang bisa pegang, masalah utamanya itu sih doi asal masuk kek sok kenal gitu megang dan moto trofi",-1
"@idextratime Yah itu andil ronaldo, sebelumnya mana ada orang portugal mau main bola, jarang, makannya lolos pildun aja cuma 3 kali, gak pernah dapet gelar apapun di internasional",-1
@Rizxfa itulah yang dirasakan mbappe pas final pildun😌,0
Waktu Argentina Lolos Sampe final WC 2014 rasanya gk keduga karna kualitas pemain argen yg biasa aja. Aku masih inget final saat itu keadaan sahur dan nobar dirumah tetangga. Alhasil messi gagal bawa pulang pildun tahun itu.  https://t.co/swTDC1u6mV,1
@idextratime Bangdo ga ada niatan ikut pildun U20 ya? Kl juara setidaknya bisa di Banggain sama fansnya😭,-1
@nowplayingbts Aku bakal tau bakal ada cowo taek kayak gini 🤣🤣🤣 aku nonton bila udh lama tapi ya ada temen ku yg baru hype pas pildun. Ya aku kasih liat siapa2 yg ganteng. Trus endingnya kamu tuh lahir di adzani bukan dilempar bola (kalo gak salah soalnya gak begitu jelas ngomongnya),0
"@GOAL_ID Tibang piala aja diributin, piala gak bernyawa, mau dibanting di cium gpp.. asal jgn ngaku2 aja salt Bae udah juara pildun..😂😂😂",0
"@dickykcivv @idextratime Emosi si titit kambing satu ini liat goat anglat tropi pildun, sabar bang wkwk",-1
"@Kirasaaa @SiaranBolaLive nendang lawan, kasih jari tengah (pildun 2018 dia ngasi jari tengah abis Messi cetak gol vs nigeria), belom lagi karirnya abis karena pake doping.",-1
"@real_damage18 😂😂😂 hilih messi omdo 😂 katanya abis pildun ini mau pensi, eh  masih mau main katanya wkwk. huhuhu😭 dahal klo ada benzema pasti bisa eksekusi penalti🥹",-1
@kegblgnunfaedh aguero kyknya bukan squad pildun tp ikutan juara,0
Ini pas kemarin nobar pildun hehehehe congrats Argentina! ❤️ #FIFAWorldCup #FIFAWorldCup2022  https://t.co/sP2jCpxMmm,1
@fhrizall @rismadwip @SiaranBolaLive menang pildun u20 😜,1
@GOAL_ID Final pildun U21 yg dimenangkan 🇦🇷🇦🇷🇦🇷 di Maria gak cetak gol kah??🤔,0
tidak berasa sudah menemani neymar main di pildun untuk ketiga kalinya,0
"@idextratime terima aja udah, wkwk, lagian mereka udah lama banget gak juara pildun",0
"smalam mimpi wv update kegiatan jin di wamil. ada yg pas dia lagi nonton pildun bareng anggota wamil, ada yg pas dia pake baju tentara warna item &amp; senjata laras panjang, ada yg pas dia lagi berdiri sikap hormat sambil pegang senjata 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭",0
@Qiqicampjamaica @SyabannulK @Messinisti @DwiPrasetyaSan1 @ndakpayurabi @idextratime Yg diomongin bukan liga sih tapi lebih ke negara Amerika Latin kalah saing fg negara eropa di pildun kata mbappe,-1
@syqadn @IRahmannuddin_ @idextratime Yaa rame karena org lagi nonton pildun bang,1
"@The_guardi @dede_harianto @afdhabil @GunnarNjord @indocringe_ Itu kan negara. Indonesia pun mungkin kalo masuk pildun, yang gasuka bola jadi nonton bola karena euforia bola emang sebesar itu. Wajar Bale ngajak warganya nonton, apalagi dia bagian dalam skuad. Tapi dia tetep ga suka bola selain sebagai pekerjaan.",1
@aslamnatsir @TumbalProyekk @donipohan7 @idextratime Yg diomongin bukan liga tapi lebih ke negara Amerika latin gak akan mampu bersaing dg benua eropa di pildun,-1
"@KMbappe puki ini bru umur 24 tpi dah maen di final pildun, ak 24 msih dudok di smea smbel bakar surya krn mikerin kapan invoice caer kimak kimak",-1
@idextratime kek sama sama merasakan “finaly udah koplit semua ajang yg di menangkan messi” kek gw yg awal ga suka gegara barca dan messi ngalahin MU thn 2009 tapi ga tau kenapa gw berharap dari awal Argentina juara Pildun,1
@Qiqicampjamaica @SyabannulK @Messinisti @ndakpayurabi @idextratime Tapi kenyataannya Eropa susah juara kalau maen di Amerika latin.. cuman Jerman 2014 yg juara Pildun pas Amerika latin jadi tuan rumah,-1
"@AmLieberal @Unterhose08 @idextratime @Romain_Molina @MadridXtra Pildun rusia jd kambing hitam, salah satunya tacklingny telat, padahal dia lari dr depan, bukannya bek yg disalahin sm media tp dia yg disalahain",-1
perasaan baru pas final pildun maren gw ngomongin mbappe 😭😭😭  https://t.co/4iKQvOZcNv,0
"Seperti Emi Martinez yg memenangkan 2x adu penalti melawan Belanda dan Perancis di Pildun 2022, Sergio Goycoechea pun melakukannya di Pildun 1990 melawan Yugoslavia dan tuan rumah Italia. Bahkan Sergio Goycoechea mampu juarai 2 copa america dan di tahun 93 menjadi pemain terbaik.",1
"@Yos79606745 @PorosHalangID @aguerosergiokun sempet kelupaan, martinez quarta knp gak dipanggil ke pildun ya, malah bawa juan foyth hadeh",-1
@idextratime Liat. Bahkan mereka gak peduli kalian siapa. Yg satu olahraga. Yg satu tidur meluk trofi pildun.  Fansya pada ribut 🤣,-1
Hampa gini rasanya gada pildun,0
@theabdulhadi Demi messi Fifa sdh resmikan gelar baru.. Fifa sdh hadiahkan pildun spya resmi jdi goat  https://t.co/Kzi2RWMuFe,1
@paulodysbala Udah ada rp pildun,0
"@moonulybae ""Aku udah seneng bola lama, ya gpp ada yg ngehype gegara pildun. Kukasih tau sekalian pemain cakepnya chelsea, barca, mu. Kamu tu lahir diadzani gak disundul bola."" Intinya itu, dengan selipan jancok jancoknya wkkwkw",1
@elfarosy99 @KaKa01175473 Mungkin idolanya gagal juara pildun bang. Jd dia ngomong ngawur. Cuma asumsi tanpa bukti. Makanya ga bisa bales.,-1
"@gv1291 @___least @theflankerID Ya udah tau dembele ga jalan sampe semifinal masih di mainin aja, udahlah akuin aja dembele jelek di pildun ini, gua ga ngejek, cuma ya emang kenyataan jelek, dan gak perform di laga2 besar, di barca aja ga perform waktu lawan tim2 besar macem madrid n munchen",-1
"@catwsmase @neymarj36673801 @idextratime Kalau acuan pemain hebat cuman soal trophy, sekelas mustafi aja pernah dapet pildun. Emang mustafi bagus?",-1
"Please, baru tidur 2 menit lalu eh kebangun gegara suara Jk nyanyi  lagu pildun 😭😭",0
Hwang Hee Chan jdi tambah bagus abis dri pildun,1
"@qorygore ikut temen nobar pildun di cafe padahal ga ngerti bola, alhasil main ml sendiri mojok di belakang sampe kelar karena gabisa keluar kejebak penonton",0
"Kalau bapak maseh ade, pasti seru bahas Messi dg Maradona. Udah ndak bise di counter agi, udah dapat gelar pildun.  Miss you so bad, pak. ❤",1
"@idextratime Lumayan pengalaman lawan club epl + isinya pemain pildun, gk main jelek juga udh bagus itu susah juga klau se tim isinya 90% bapuk",1
@IRahmannuddin_ @idextratime Tp pwrasaan kmrn pas pildun rame bgt cok waokwkwk,1
"@garistengah_id Jesper Blomqvist ngga masuk flop kayaknya yah? Dia dibeli tahun 1998 cuma buat cadangannya Giggs. Dan saat main pun masih bisa perform bagus. Sayang pasca final champion 1999, dia cidera dan 2 tahun ga main. Akhirnya dilego. Dia bukan krn abis Pildun sih. Udah diincer sejak 1996.",-1
@dejugabisa @MiskinTV_ Caranya gmn bang sehari sblm final pildun akun gw jg kena pdhl nggk ngapa2in,0
"@terabhitiya @hahakiiim @alvdon_zz @The_RedsIndo Justru dimaria masih oke smpai mnit 70an org dia mmng disiapkn utk final kok, klo dybala yg mmng gk fit krna dimainkn dimenit akhr trs. Acuna aja di bek sayap crossing yg bagus hnya ketika uji coba sblm pildun slbhnya gk jelas dan cuma bisa brtahan.",-1
@niarr131 @idextratime Abang baru pertama kali nonton bola pa gimana? Saling ngecengi itu hal biasa… liat pemenang2 pildun yang dulu kalau selebrasi gimana. Argentina kalah juga Prancis bakal ngelakuin hal yang sama. It’s football culture.,-1
@codename_andre @gabut_mang @ald_sandi @PorosHalangID aguero kan legend di argentina (ibarat)mantan prajurit meskipun gada kontribusi di pildun 2022. kita ngga tau aja dia dibelakang panggung gimana sama pemain,1
alhamdulillah pildun kelar. akhirnya poser-poser bola ini kembali ke tempat nya masing-masing 😌,-1
"@newshunter25 Kehilangan taring tapi 2018 dapat pildun, 2022 masuk final, kalah di pinalti lagi. Yang beban mah benzema aja di prancis",-1
masih senyum sndiri klo nemu editan messi mnang pildun anying,0
@The_RedsIndo Iwan copeng kira2 klw Timnas juara pildun bs mewek gini jg ga ?,0
"terakhir liat senyum dan denger suara tawanya waktu live habis perform opening fifa sampe sekarang pildun nya udah selesai anak nya masi belum nampakin diri di sosmed:) waktu nganter seokjin ga liat wajah sama denger suara dia, and i know you're not okay koo:(",0
kgn final pildun,1
"Grgr pildun kemaren, mendadak jd punya idola bola. Suka sama Kylian karena maennya bagus, trs suka sama Dybala karena ganteng 😭 ganteng dan ada tengil2nya gitu 😭",1
"Wkwkwkwk ini pas nonton pildun. Cuma facta dan yaafi yg milih argentina, yg lain pada milih perancis wkwkwkwkwkwkwk  https://t.co/W1OCEiOr0k",0
"Gabisa turuuu, Jam segini tuh memang rawan overthinking aslii.   Gara2 pildun habis jadi bingung mau ngapain(?)  https://t.co/7UQgzsuRD5",0
"@natsushida @dashevas @deIvarette &amp;. Hoalah pantes, habis kerja rodi kah. Iya anjir gua gegara pildun jadi kebiasaan jam segini kebangun. Tapi ini mau tidur lagi.",0
@rakha_synrev @SeputarMadrid jamal bukannya pas di pildun bisa di bilang gendong timnas ya?,0
"sumpah seru bet ketika fans2 nya ronaldo lagi belain2 ronaldo terus fans messi cuma kasih pics messi angkat pildun ajg, kek ke savage aja gitu🤣",0
gara gara pildun jam tidur ga keurus asuu,-1
"@idextratime Gabisa nonton asw,ga kek pildun",0
hari hari pildun ngedumel lautaro  https://t.co/2segcdoQLQ,0
"@convomfs Suami aku dong, kerja sambil nonton final pildun+dirumah juga❤️❤️",1
stuju sih sama farhan. efek messi menang pildun kebawa senengnya bisa sampe 5 bulan keknya🤩🥰,1
"@alfando_sr @fauzanfeb @TeamCRonaldo Susah juga sih bro, banyak pemain emang bagusnya pas di timnas, di club malah kadang biasa aja. Entah motivasi yang berbeda saat membela negara/klub. Dan emang kan banyak kasus pemain bagus banget pas di pildun/copa/euro tapi pas main di klub malah flop",0
"Kalo penilaian GOAT cuma diliat dari bisa menang pildun (yg apalagi fix dibantu wasit &amp; VAR) payah bro. Orang yg bermain jauh diluar zona nyaman &amp; terbukti memenangkan lebih banyak trofi lebih layak di sebut GOAT, meskipun jujur aku bukan fans sejati CR7. He deserve than messi.",-1
"@idextratime Ada satu hal orang orang lupa, matahin kutukan juara dunia gak lolos fase grup, dan prancis sampai ke final loh, jangan ntar di pildun selanjutnya argentina gak lolos fase grup seperti jerman dan spanyol.",1
"Kalo penilaian GOAT cuma diliat dari bisa menang pildun (yg apalagi fix dibantu wasit &amp; VAR) payah sekali bro. Orang yg bermain jauh diluar zona nyaman &amp; terbukti memenangkan lebih banyak trofi yg lebih layak di sebut GOAT, meskipun jujur aku bukan fans sejati nya CR7.",-1
@captainamandaa Nikahanku emang pembukane pildun,0
"@ribakonsudeee @abd_azzam_ @maada15 @idextratime TUL  Udah gitu giliran Prancis diving langsung dikasih kartu kuning Thuram, giliran ini di cek VAR aja kagak, coba cek VAR, sudah selayaknya Mbappe dkk 2x beruntun pildun. Mending dibakar aja itu sekalian ruangan VAR = SAMPAH MASYARAKAT!!!",-1
Hasil pildun dah cair nih Ayok nato 🤭,0
@rismadwip @SiaranBolaLive kocakk🤣🤣 jadi patokan menang pildun tergantung main club apa gt ya🤭🤭,0
@PorosHalangID Bangsa kolombia rakyat nya gak ada yang pernah megang pildun maka nya ngiri 🤣🤣🤣,-1
Kondisi tugu pahlawan ketika indonesia juara pildun #misale 😫,0
@mrbintang2020 @idextratime 3 gol lah ya minimal tapi apa daya cuma sebiji gol yang dicetak bang do selama pildun  https://t.co/EqYmRKLTcM,-1
"sisaan pildun masih gabisa ilang, blum bisa tidur jam segini",-1
Finally safe to tweet at this hour karena gak ada orang soalnya pildun udah kelar,0
agak susah sih ini reset pola tidur beres pildun,0
Rehat setelah pildun. Wkwkwk🤣  https://t.co/ms4bJLCDiN,0
"Pe, Mbappe, wes talah ojok mbesengut ngono! Awakmu iki jek enom, 24 tahun. Bales pildun ngarep, Pe 🔥😈",1
Pilpres sama pildun seruan mana yak ?,0
"@realmadridindo1 Julid amat ini akun y, g di sini g di fb g di ig, kayanya panas amat Messi bs dpt pildun sdgkan dodo gbs, Messi 2x masuk final 2x liat lsg piala nya, 1x bs pegang cium angkat hore rame* tp dodo tdk prnh bs 😂🤣, dr segi gol dr segi prestasi pun Messi yg unggul 🤭",1
"@Askrlfess gw jg abis dibilang gini ama temen gegara bikin story pas final pildun kemaren ""lu ko tiba2 suka messi aja"", ya gw jawab lah ""lah anjir uda lama, emng perlu ya apa2 kalo gw suka trs di public"" anjir bgt pdhl dah dari jaman messi di barca, itu cowo btw",0
"@semestasains mau balik ke awal pildun baru mulai, mau langsung taruhan 99999999999999999999999999999 triliun milih argentina terus",0
Ini semua karna pildun! rusak jam tidur,-1
pemutus kutukan alias emg udah cocok jd lautaro yg pea di pildun kemarin  https://t.co/OKdBsmwtKp,-1
"@mmamaww @onlyvvan @Forky_toystory0 @idextratime Sejak liga udah padat,dan pildun diundur gara gara covid jadi gak ada waktu lagi untuk mengadakan piala konfederasi",-1
Hasil dari pildun kemarin yaa perut buncit gara” konsumsi uang haram,-1
"@kegblgnunfaedh sehari sebelum final tapi uda post tu megang pildun, ngadi² ni berita",-1
@pxndv14th Lahhhh pildun kan syuda kelar,0
